Campaña
1 de enero de 2024 - 31 de enero de 2024
Campaña,Estado de la campaña,Tipo de campaña,Clics,Impr.,CTR,Código de moneda,CPC medio,Coste,Conversiones,Conv. post-impresión,Coste/conv.,Tasa de conv.
Blog traffic,En pausa,Buscar,0,0,0,COP,0,"0,00","0,00",0,0,0
Consideración de vídeo - 2022-11-21,Habilitada,Vídeo,68,33.719,"0,20%",COP,"2132,49","145009,54","2,00",0,"72504,77","0,01%"
ING - Performance Max-NA,Habilitada,Rendimiento máximo,13.370,204.667,"6,53%",COP,"55,69","744605,70","1.565,24",0,"475,71","9,14%"
PMax: SEM_Ingenieria_OnLine_Cundinamarca,Habilitada,Rendimiento máximo,0,0,0,COP,0,"0,00","0,00",0,0,0
PXR traffic-Search,En pausa,Buscar,0,0,0,COP,0,"0,00","0,00",0,0,0
SEM_Administracion_Online_Antioquia,Habilitada,Buscar,2.348,23.419,"10,03%",COP,"803,09","1885646,86","787,72",0,"2393,82","33,55%"
SEM_Administracion_Online_Antioquia 2#,Habilitada,Buscar,646,5.813,"11,11%",COP,"805,89","520607,97","179,50",0,"2900,26","27,79%"
SEM_Administracion_Online_Bogota,Habilitada,Buscar,1.466,10.708,"13,69%",COP,"954,42","1399178,19","741,52",0,"1886,90","50,58%"
SEM_Administracion_Online_Bogota #2,Habilitada,Buscar,1.372,6.207,"22,10%",COP,"839,66","1152011,31","801,58",0,"1437,18","58,42%"
SEM_Administracion_Online_Bogota #3,Habilitada,Buscar,291,1.666,"17,47%",COP,"726,86","211517,32","155,94",0,"1356,43","53,59%"
SEM_Administracion_Online_Cali,Habilitada,Buscar,512,4.406,"11,62%",COP,"890,64","456008,82","174,00",0,"2620,73","33,98%"
SEM_Administracion_Online_Cauca,Habilitada,Buscar,1.088,6.958,"15,64%",COP,"698,54","760012,85","211,00",0,"3601,97","19,39%"
SEM_Administracion_Online_Cauca #2,Habilitada,Buscar,398,3.511,"11,34%",COP,"769,72","306349,50","75,00",0,"4084,66","18,84%"
SEM_Administracion_Online_Meta,Habilitada,Buscar,1.621,12.571,"12,89%",COP,"858,30","1391299,72","374,00",0,"3720,01","23,07%"
SEM_Administracion_Online_Meta #2,Habilitada,Buscar,280,2.458,"11,39%",COP,"979,65","274300,68","71,00",0,"3863,39","25,36%"
SEM_Administracion_Online_Santander,Habilitada,Buscar,619,6.453,"9,59%",COP,"1227,64","759911,37","185,00",0,"4107,68","29,89%"
SEM_Administrativo_Online_Boyacá,Habilitada,Buscar,2.358,18.010,"13,09%",COP,"1484,94","3501497,27","696,49",0,"5027,38","29,54%"
SEM_Administrativo_Online_Boyacá #2,Habilitada,Buscar,136,1.306,"10,41%",COP,"1335,35","181607,14","30,00",0,"6053,57","22,06%"
SEM_Administrativo_Online_Boyacá #3,Habilitada,Buscar,39,413,"9,44%",COP,"2042,09","79641,50","11,00",0,"7240,14","28,21%"
SEM_Administrativo_Online_Cundinamarca,Habilitada,Buscar,482,3.973,"12,13%",COP,"1578,49","760832,44","181,00",0,"4203,59","37,55%"
SEM_Administrativo_Online_Nariño,Habilitada,Buscar,445,3.581,"12,43%",COP,"1707,75","759948,13","104,00",0,"7307,19","23,37%"
SEM_Contaduria_Online_Antioquia,Habilitada,Buscar,1.962,15.280,"12,84%",COP,"707,76","1388618,73","380,00",0,"3654,27","19,37%"
SEM_Contaduria_Online_Antioquia #2,Habilitada,Buscar,1.252,16.225,"7,72%",COP,"627,15","785187,89","228,00",0,"3443,81","18,21%"
SEM_Ingenieria_Boyaca_NA,Habilitada,Buscar,913,6.176,"14,78%",COP,"832,77","760321,19","269,41",0,"2822,16","29,51%"
SEM_Ingenieria_Boyaca_NA #2,Habilitada,Buscar,1.278,6.752,"18,93%",COP,"394,59","504288,85","383,89",0,"1313,63","30,04%"
SEM_Ingenieria_Cundinamarca_NA,Habilitada,Buscar,199,1.146,"17,36%",COP,"3557,54","707951,16","89,11",0,"7944,48","44,78%"
SEM_Ingenieria_OnLine_Bogota,Habilitada,Buscar,495,2.597,"19,06%",COP,"923,81","457286,00","28,00",0,"16331,64","5,66%"
SEM_Ingenieria_OnLine_Cundinamarca,En pausa,Buscar,461,2.059,"22,39%",COP,"1659,48","765022,20","206,35",0,"3707,44","44,76%"
SEM_Ingenieria_Online_NA,Habilitada,Buscar,802,9.178,"8,74%",COP,"856,21","686683,47","130,00",0,"5282,18","16,21%"
