campaign_id,clicks,conversion,conversion_rate,cost_per_conversion,cpc,cpm,ctr,currency,gross_impressions,impressions,real_time_conversion,real_time_conversion_rate,real_time_cost_per_conversion,spend,stat_time_day
"1771799726114850","6","0","0.00","0.00","0.00","0.00","0.45","COP","1603","1346","0","0.00","0.00","0.00","2024-01-02 00:00:00"
"1771799726114850","0","0","0.00","0.00","0.00","0.00","0.00","COP","5","2","0","0.00","0.00","0.00","2024-01-07 00:00:00"
"1771888546810897","0","0","0.00","0.00","0.00","0.00","0.00","COP","1","0","0","0.00","0.00","0.00","2024-01-05 00:00:00"
"1772323576458289","0","0","0.00","0.00","0.00","0.00","0.00","COP","461","432","0","0.00","0.00","0.00","2024-01-05 00:00:00"
"1783750632308786","0","0","0.00","0.00","0.00","0.00","0.00","COP","237","209","0","0.00","0.00","0.00","2024-01-03 00:00:00"
"1783750632308786","0","0","0.00","0.00","0.00","0.00","0.00","COP","189","147","0","0.00","0.00","0.00","2024-01-04 00:00:00"
"1783750632308786","0","0","0.00","0.00","0.00","0.00","0.00","COP","87","72","0","0.00","0.00","0.00","2024-01-05 00:00:00"
"1771799726114850","448","27","6.03","5723.83","344.96","1888.45","0.55","COP","96255","81836","27","6.03","5723.83","154543.50","2024-01-01 00:00:00"
"1771799726114850","0","0","0.00","0.00","0.00","0.00","0.00","COP","10","2","0","0.00","0.00","0.00","2024-01-08 00:00:00"
"1771799726114850","323","30","9.29","3412.70","316.97","1981.17","0.63","COP","61257","51677","30","9.29","3412.70","102381.11","2024-01-09 00:00:00"
"1771799726114850","992","65","6.55","4508.50","295.42","1427.46","0.48","COP","244173","205297","65","6.55","4508.50","293052.31","2024-01-10 00:00:00"
"1771799726114850","982","56","5.70","6440.54","367.28","1654.95","0.45","COP","260702","217934","56","5.70","6440.54","360670.49","2024-01-12 00:00:00"
"1771888385831986","0","0","0.00","0.00","0.00","0.00","0.00","COP","1","0","0","0.00","0.00","0.00","2024-01-05 00:00:00"
"1772323576458289","0","0","0.00","0.00","0.00","0.00","0.00","COP","969","881","0","0.00","0.00","0.00","2024-01-03 00:00:00"
"1772323576458289","0","0","0.00","0.00","0.00","0.00","0.00","COP","6","0","0","0.00","0.00","0.00","2024-01-08 00:00:00"
"1772323576458289","312","0","0.00","0.00","384.62","760.97","0.20","COP","182496","157694","0","0.00","0.00","120000.00","2024-01-09 00:00:00"
"1772323576458289","276","0","0.00","0.00","434.78","721.90","0.17","COP","192032","166229","0","0.00","0.00","120000.00","2024-01-11 00:00:00"
"1783750632308786","132","11","8.33","3414.34","284.53","1300.79","0.46","COP","34581","28873","11","8.33","3414.34","37557.78","2024-01-09 00:00:00"
"1783750632308786","400","9","2.25","5528.75","124.40","1070.91","0.86","COP","55599","46464","9","2.25","5528.75","49758.76","2024-01-11 00:00:00"
"1771799726114850","0","0","0.00","0.00","0.00","0.00","0.00","COP","197","165","0","0.00","0.00","0.00","2024-01-04 00:00:00"
"1771799726114850","0","0","0.00","0.00","0.00","0.00","0.00","COP","76","59","0","0.00","0.00","0.00","2024-01-06 00:00:00"
"1771799726114850","825","55","6.67","5168.16","344.54","1589.33","0.46","COP","214480","178848","55","6.67","5168.16","284249.06","2024-01-11 00:00:00"
"1772323576458289","356","0","0.00","0.00","337.08","683.43","0.20","COP","202782","175586","0","0.00","0.00","120000.00","2024-01-01 00:00:00"
"1772323576458289","0","0","0.00","0.00","0.00","0.00","0.00","COP","714","652","0","0.00","0.00","0.00","2024-01-04 00:00:00"
"1772323576458289","0","0","0.00","0.00","0.00","0.00","0.00","COP","246","215","0","0.00","0.00","0.00","2024-01-06 00:00:00"
"1772323576458289","0","0","0.00","0.00","0.00","0.00","0.00","COP","13","4","0","0.00","0.00","0.00","2024-01-07 00:00:00"
"1772323576458289","317","0","0.00","0.00","378.55","752.41","0.20","COP","184810","159488","0","0.00","0.00","120000.00","2024-01-12 00:00:00"
"1783750632308786","228","7","3.07","7381.35","226.62","1274.63","0.56","COP","48634","40537","7","3.07","7381.35","51669.48","2024-01-01 00:00:00"
"1783750632308786","0","0","0.00","0.00","0.00","0.00","0.00","COP","38","34","0","0.00","0.00","0.00","2024-01-06 00:00:00"
"1771799726114850","0","0","0.00","0.00","0.00","0.00","0.00","COP","266","224","0","0.00","0.00","0.00","2024-01-03 00:00:00"
"1771799726114850","0","0","0.00","0.00","0.00","0.00","0.00","COP","146","100","0","0.00","0.00","0.00","2024-01-05 00:00:00"
"1772323576458289","1","0","0.00","0.00","0.00","0.00","0.04","COP","3034","2684","0","0.00","0.00","0.00","2024-01-02 00:00:00"
"1772323576458289","337","0","0.00","0.00","356.08","711.14","0.20","COP","195241","168743","0","0.00","0.00","120000.00","2024-01-10 00:00:00"
"1783750632308786","1","0","0.00","0.00","0.00","0.00","0.18","COP","666","569","0","0.00","0.00","0.00","2024-01-02 00:00:00"
"1783750632308786","0","0","0.00","0.00","0.00","0.00","0.00","COP","2","1","0","0.00","0.00","0.00","2024-01-07 00:00:00"
"1783750632308786","307","20","6.51","3125.00","203.58","1255.45","0.62","COP","60027","49783","20","6.51","3125.00","62500.00","2024-01-10 00:00:00"
"1783750632308786","246","10","4.07","5530.89","224.83","1243.06","0.55","COP","53886","44494","10","4.07","5530.89","55308.87","2024-01-12 00:00:00"
"1771799726114850","1172","71","6.06","6649.16","402.81","1747.29","0.43","COP","322177","270184","71","6.06","6649.16","472090.30","2024-01-13 00:00:00"
"1771799726114850","1409","52","3.69","11837.00","436.85","1488.49","0.34","COP","482435","413523","52","3.69","11837.00","615523.94","2024-01-20 00:00:00"
"1771799726114850","1281","49","3.83","13118.27","501.79","1560.04","0.31","COP","473432","412039","49","3.83","13118.27","642795.36","2024-02-01 00:00:00"
"1771799726114850","989","56","5.66","8915.30","504.81","1535.47","0.30","COP","374778","325148","56","5.66","8915.30","499256.53","2024-02-05 00:00:00"
"1771799726114850","1279","55","4.30","11817.37","508.17","1633.43","0.32","COP","456481","397909","55","4.30","11817.37","649955.57","2024-02-08 00:00:00"
"1771799726114850","517","28","5.42","9691.05","524.85","1637.00","0.31","COP","190161","165760","28","5.42","9691.05","271349.53","2024-02-09 00:00:00"
"1772323576458289","287","0","0.00","0.00","418.12","751.82","0.18","COP","184309","159612","0","0.00","0.00","120000.00","2024-01-14 00:00:00"
"1772323576458289","245","0","0.00","0.00","489.80","817.43","0.17","COP","169036","146802","0","0.00","0.00","120000.00","2024-01-17 00:00:00"
"1772323576458289","0","0","0.00","0.00","0.00","0.00","0.00","COP","1","0","0","0.00","0.00","0.00","2024-02-06 00:00:00"
"1783750632308786","249","19","7.63","3493.93","266.60","1282.17","0.48","COP","62873","51775","19","7.63","3493.93","66384.60","2024-01-14 00:00:00"
"1783750632308786","236","9","3.81","6446.94","245.86","1170.23","0.48","COP","59375","49582","9","3.81","6446.94","58022.45","2024-01-16 00:00:00"
"1783750632308786","223","7","3.14","6389.79","200.58","1075.62","0.54","COP","48387","41584","7","3.14","6389.79","44728.54","2024-01-23 00:00:00"
"1783750632308786","80","4","5.00","6239.78","311.99","1160.51","0.37","COP","25294","21507","4","5.00","6239.78","24959.12","2024-01-28 00:00:00"
"1783750632308786","88","3","3.41","8346.99","284.56","1136.62","0.40","COP","26011","22031","3","3.41","8346.99","25040.97","2024-01-30 00:00:00"
"1783750632308786","119","3","2.52","9974.26","251.45","1171.70","0.47","COP","29860","25538","3","2.52","9974.26","29922.79","2024-02-08 00:00:00"
"1783750632308786","15","1","6.67","2888.56","192.57","1249.38","0.65","COP","2672","2312","1","6.67","2888.56","2888.56","2024-02-12 00:00:00"
"1771799726114850","1050","59","5.62","8110.95","455.76","1795.74","0.39","COP","315843","266489","59","5.62","8110.95","478546.05","2024-01-15 00:00:00"
"1771799726114850","1435","71","4.95","9659.27","477.92","1688.63","0.35","COP","474102","406132","71","4.95","9659.27","685808.47","2024-01-21 00:00:00"
"1771799726114850","1040","53","5.10","10037.89","511.55","1571.35","0.31","COP","393148","338568","53","5.10","10037.89","532007.96","2024-01-25 00:00:00"
"1771799726114850","1301","43","3.31","13900.79","459.44","1375.95","0.30","COP","504108","434415","43","3.31","13900.79","597733.99","2024-01-31 00:00:00"
"1771799726114850","1298","43","3.31","14630.45","484.68","1527.46","0.32","COP","473330","411866","43","3.31","14630.45","629109.16","2024-02-02 00:00:00"
"1771799726114850","1167","56","4.80","11396.73","546.89","1805.63","0.33","COP","406748","353460","56","4.80","11396.73","638217.00","2024-02-03 00:00:00"
"1771799726114850","1298","63","4.85","10674.53","518.10","1690.54","0.33","COP","457206","397800","63","4.85","10674.53","672495.27","2024-02-04 00:00:00"
"1771799726114850","1238","53","4.28","10992.68","470.61","1468.95","0.31","COP","457930","396619","53","4.28","10992.68","582612.16","2024-02-06 00:00:00"
"1771799726114850","1185","40","3.38","14074.45","475.09","1561.52","0.33","COP","413271","360532","40","3.38","14074.45","562978.06","2024-02-11 00:00:00"
"1771799726114850","273","16","5.86","7922.90","464.35","1747.71","0.38","COP","82820","72533","16","5.86","7922.90","126766.40","2024-02-12 00:00:00"
"1771888385831986","0","0","0.00","0.00","0.00","0.00","0.00","COP","0","0","0","0.00","0.00","0.00","2024-02-01 00:00:00"
"1772323576458289","300","0","0.00","0.00","400.00","762.02","0.19","COP","182193","157477","0","0.00","0.00","120000.00","2024-01-13 00:00:00"
"1772323576458289","281","0","0.00","0.00","427.05","775.95","0.18","COP","178403","154649","0","0.00","0.00","120000.00","2024-01-15 00:00:00"
"1772323576458289","273","0","0.00","0.00","439.56","778.31","0.18","COP","177190","154180","0","0.00","0.00","120000.00","2024-01-16 00:00:00"
"1772323576458289","244","0","0.00","0.00","491.80","826.73","0.17","COP","166121","145150","0","0.00","0.00","120000.00","2024-01-19 00:00:00"
"1772323576458289","0","0","0.00","0.00","0.00","0.00","0.00","COP","852","0","0","0.00","0.00","0.00","2024-01-23 00:00:00"
"1772323576458289","0","0","0.00","0.00","0.00","0.00","0.00","COP","373","0","0","0.00","0.00","0.00","2024-01-24 00:00:00"
"1772323576458289","96","0","0.00","0.00","937.50","829.34","0.09","COP","122775","108520","0","0.00","0.00","90000.00","2024-01-27 00:00:00"
"1772323576458289","68","0","0.00","0.00","1323.53","786.86","0.06","COP","130184","114378","0","0.00","0.00","90000.00","2024-01-29 00:00:00"
"1772323576458289","32","0","0.00","0.00","1343.30","784.08","0.06","COP","62665","54823","0","0.00","0.00","42985.48","2024-01-30 00:00:00"
"1772323576458289","0","0","0.00","0.00","0.00","0.00","0.00","COP","468","0","0","0.00","0.00","0.00","2024-01-31 00:00:00"
"1772323576458289","0","0","0.00","0.00","0.00","0.00","0.00","COP","143","0","0","0.00","0.00","0.00","2024-02-02 00:00:00"
"1772323576458289","0","0","0.00","0.00","0.00","0.00","0.00","COP","3","0","0","0.00","0.00","0.00","2024-02-05 00:00:00"
"1783750632308786","227","10","4.41","5528.02","243.52","1200.36","0.49","COP","56177","46053","10","4.41","5528.02","55280.15","2024-01-15 00:00:00"
"1783750632308786","125","9","7.20","2767.09","199.23","1141.07","0.57","COP","25946","21825","9","7.20","2767.09","24903.84","2024-01-26 00:00:00"
"1783750632308786","110","3","2.73","8291.10","226.12","1106.81","0.49","COP","26059","22473","3","2.73","8291.10","24873.31","2024-02-02 00:00:00"
"1771799726114850","1394","48","3.44","13141.96","452.52","1582.47","0.35","COP","467077","398627","48","3.44","13141.96","630814.17","2024-01-18 00:00:00"
"1771799726114850","1123","51","4.54","10342.62","469.70","1439.92","0.31","COP","426433","366321","51","4.54","10342.62","527473.82","2024-01-24 00:00:00"
"1771799726114850","1164","54","4.64","10773.25","499.79","1560.56","0.31","COP","431661","372786","55","4.73","10577.37","581755.57","2024-01-29 00:00:00"
"1771799726114850","1359","48","3.53","12768.03","450.97","1385.28","0.31","COP","514629","442414","48","3.53","12768.03","612865.22","2024-01-30 00:00:00"
"1772323576458289","251","0","0.00","0.00","478.09","815.88","0.17","COP","168663","147080","0","0.00","0.00","120000.00","2024-01-18 00:00:00"
"1772323576458289","238","0","0.00","0.00","504.20","788.18","0.16","COP","174863","152249","0","0.00","0.00","120000.00","2024-01-20 00:00:00"
"1772323576458289","300","0","0.00","0.00","400.00","746.69","0.19","COP","184338","160710","0","0.00","0.00","120000.00","2024-01-21 00:00:00"
"1772323576458289","148","0","0.00","0.00","437.01","755.42","0.17","COP","98940","85618","0","0.00","0.00","64677.92","2024-01-22 00:00:00"
"1772323576458289","83","0","0.00","0.00","1084.34","803.38","0.07","COP","127831","112026","0","0.00","0.00","90000.00","2024-01-28 00:00:00"
"1772323576458289","0","0","0.00","0.00","0.00","0.00","0.00","COP","98","0","0","0.00","0.00","0.00","2024-02-03 00:00:00"
"1772323576458289","0","0","0.00","0.00","0.00","0.00","0.00","COP","3","0","0","0.00","0.00","0.00","2024-02-07 00:00:00"
"1783750632308786","276","20","7.25","3360.37","243.51","1183.75","0.49","COP","68035","56775","20","7.25","3360.37","67207.44","2024-01-17 00:00:00"
"1783750632308786","316","13","4.11","6603.83","271.68","1178.07","0.43","COP","86255","72873","13","4.11","6603.83","85849.77","2024-01-19 00:00:00"
"1783750632308786","267","8","3.00","9584.25","287.17","1224.16","0.43","COP","73577","62634","8","3.00","9584.25","76673.99","2024-01-20 00:00:00"
"1783750632308786","283","19","6.71","4353.88","292.31","1297.44","0.44","COP","74679","63759","19","6.71","4353.88","82723.63","2024-01-21 00:00:00"
"1783750632308786","132","9","6.82","3334.95","227.38","1137.13","0.50","COP","31378","26395","9","6.82","3334.95","30014.56","2024-01-24 00:00:00"
"1783750632308786","88","12","13.64","2082.64","284.00","1099.60","0.39","COP","26641","22728","12","13.64","2082.64","24991.63","2024-01-31 00:00:00"
"1783750632308786","103","9","8.74","2802.34","244.86","1096.09","0.45","COP","26532","23010","9","8.74","2802.34","25221.07","2024-02-01 00:00:00"
"1783750632308786","81","6","7.41","3428.70","253.98","1153.93","0.45","COP","20437","17828","6","7.41","3428.70","20572.19","2024-02-05 00:00:00"
"1783750632308786","101","5","4.95","5880.94","291.14","1119.03","0.38","COP","30829","26277","5","4.95","5880.94","29404.72","2024-02-06 00:00:00"
"1783750632308786","113","2","1.77","12520.94","221.61","1112.03","0.50","COP","26354","22519","2","1.77","12520.94","25041.88","2024-02-07 00:00:00"
"1783750632308786","33","1","3.03","8366.14","253.52","1157.62","0.46","COP","8518","7227","1","3.03","8366.14","8366.14","2024-02-09 00:00:00"
